GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A088BVM4	rbcL	involved_in	GO:0015977	carbon fixation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017443|InterPro:IPR020878|InterPro:IPR020888|InterPro:IPR036422	39947	InterPro		P
UniProtKB	A0A088BVM4	rbcL	involved_in	GO:0015977	carbon fixation	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0120	39947	UniProt		P
UniProtKB	A0A088BVM4	rbcL	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0113	39947	UniProt		P
UniProtKB	A0A0K0LQW8	rbcL	involved_in	GO:0015977	carbon fixation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017443|InterPro:IPR020878|InterPro:IPR020888|InterPro:IPR036422	39947	InterPro		P
UniProtKB	A0A0K0LQW8	rbcL	involved_in	GO:0015977	carbon fixation	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0120	39947	UniProt		P
UniProtKB	A0A0K0LQW8	rbcL	involved_in	GO:0015977	carbon fixation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000339182	39947	UniProt		P
UniProtKB	A0A0K0LQW8	rbcL	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0113	39947	UniProt		P
UniProtKB	A0A0K0LQW8	rbcL	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000339182	39947	UniProt		P
UniProtKB	A0A0N7KPV8	P0456B03.109	involved_in	GO:0015977	carbon fixation	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0120	39947	UniProt		P
UniProtKB	A0A0P0UX68	Os01g0110700	involved_in	GO:0015977	carbon fixation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021135	39947	InterPro		P
UniProtKB	A0A0P0UXD2	Os01g0110700	involved_in	GO:0015977	carbon fixation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021135|InterPro:IPR022805	39947	InterPro		P
UniProtKB	A0A0P0UXD2	Os01g0110700	involved_in	GO:0015977	carbon fixation	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0120	39947	UniProt		P
